search_marka,user_id
58,207
84,189
127,13
31,220
20,238
90,137
26,229
81,206
63,53
24,109
36,241
129,16
113,185
78,247
45,23
60,75
102,270
58,91
14,228
97,256
58,191
25,104
78,125
29,130
106,221
123,117
84,195
71,286
53,295
51,250
45,93
109,67
118,9
90,123
39,218
60,151
89,177
75,183
125,299
29,6
50,264
21,90
39,82
125,35
108,56
39,140
127,235
75,65
27,8
100,46
13,74
116,292
21,174
100,107
113,60
63,231
113,169
71,27
90,284
29,154
